playerId,season,name,team,position,team_rank,ev_icetime,offensive_rank,defensive_rank,general_play_rank,physicality_rank,penalties_rank,Finishing,penalty_kill_rank,power_play_rank,overall
8479976,2023,Juuso Valimaki,ARI,D,27,60.0,40.0,83.0,56.0,36.0,93.0,29.0,0.0,0.0,66.0
8480069,2023,Cale Makar,COL,D,8,79.0,99.0,55.0,92.0,8.0,99.0,82.0,13.0,100.0,90.0
8482858,2023,Ryker Evans,SEA,D,25,27.0,9.0,97.0,77.0,69.0,38.0,38.0,0.0,0.0,67.0
8477499,2023,Rasmus Ristolainen,PHI,D,21,19.0,64.0,90.0,83.0,77.0,84.0,21.0,0.0,0.0,88.0
8480990,2023,Declan Chisholm,MIN,D,20,16.0,25.0,82.0,76.0,7.0,23.0,48.0,0.0,0.0,59.0
8475753,2023,Justin Faulk,STL,D,16,56.0,73.0,11.0,37.0,52.0,24.0,4.0,0.0,39.0,33.0
8480873,2023,Rasmus Sandin,WSH,D,17,75.0,21.0,15.0,16.0,40.0,55.0,30.0,0.0,0.0,12.0
8477971,2023,Andreas Englund,LAK,D,12,49.0,15.0,59.0,52.0,95.0,76.0,41.0,0.0,0.0,49.0
8479345,2023,Jakob Chychrun,OTT,D,26,95.0,76.0,27.0,57.0,24.0,47.0,64.0,0.0,72.0,59.0
8483482,2023,Tristan Luneau,ANA,D,30,1.0,80.0,9.0,41.0,59.0,65.0,99.0,0.0,0.0,34.0
8482176,2023,Wyatt Kaiser,CHI,D,31,19.0,6.0,31.0,10.0,27.0,8.0,18.0,0.0,0.0,5.0
8479323,2023,Adam Fox,NYR,D,1,71.0,91.0,84.0,90.0,15.0,88.0,95.0,78.0,83.0,96.0
8477384,2023,Josh Brown,ARI,D,27,30.0,60.0,3.0,7.0,94.0,13.0,79.0,0.0,0.0,12.0
8481056,2023,Spencer Stastney,NSH,D,11,9.0,70.0,50.0,88.0,0.0,84.0,98.0,0.0,0.0,70.0
8482087,2023,Kaiden Guhle,MTL,D,28,70.0,46.0,53.0,20.0,59.0,27.0,52.0,33.0,0.0,35.0
8474013,2023,Ian Cole,VAN,D,6,66.0,19.0,89.0,64.0,48.0,14.0,54.0,75.0,0.0,63.0
