playerId,season,name,team,position,general_play_rank
8471709,2023,Marc-Edouard Vlasic,SJS,D,4.029304029304029
8475762,2023,Derek Forbort,BOS,D,46.52014652014652
8478859,2023,Niko Mikkola,FLA,D,72.16117216117216
8481708,2023,Zac Jones,NYR,D,46.88644688644688
8476429,2023,Scott Mayfield,NYI,D,6.227106227106227
8474578,2023,Erik Karlsson,PIT,D,94.13919413919413
8481542,2023,Moritz Seider,DET,D,25.274725274725274
8480336,2023,Sean Walker,COL,D,84.98168498168498
8482192,2023,Isaak Phillips,CHI,D,1.465201465201465
8470966,2023,Mark Giordano,TOR,D,90.10989010989012
8478055,2023,Gustav Forsling,FLA,D,97.43589743589743
8475188,2023,Brayden McNabb,VGK,D,68.13186813186813
8477810,2023,Joel Hanley,CGY,D,65.93406593406593
