name,cap_hit
Matthew Boldy,7000000
Anze Kopitar,7000000
Nazem Kadri,7000000
Anders Lee,7000000
Marc-Edouard Vlasic,7000000
Troy Terry,7000000
Ryan McDonagh,6750000
Ivan Provorov,6750000
Brock Boeser,6650000
Cam Fowler,6500000
Justin Faulk,6500000
Colton Parayko,6500000
Torey Krug,6500000
Sam Reinhart,6500000
Chris Kreider,6500000
Brandon Hagel,6500000
Brayden Schenn,6500000
Claude Giroux,6500000
Brendan Gallagher,6500000
Tom Wilson,6500000
Hampus Lindholm,6500000
John Gibson,6400000
Anthony Cirelli,6250000
Jeff Petry,6250000
MacKenzie Weegar,6250000
Josh Morrissey,6250000
Damon Severson,6250000
Mattias Ekholm,6250000
Alex Killorn,6250000
Travis Sanheim,6250000
Owen Tippett,6200000
Ryan Pulock,6150000
Valeri Nichushkin,6125000
Brad Marchand,6125000
Kris Letang,6100000
Evgeni Malkin,6100000
Jonas Brodin,6000000
Jake Guentzel,6000000
Jordan Binnington,6000000
Ondrej Palat,6000000
Tyler Myers,6000000
Nikolaj Ehlers,6000000
Taylor Hall,6000000
Brock Nelson,6000000
Jacob Markstrom,6000000
William Karlsson,5900000
Philipp Grubauer,5900000
Neal Pionk,5875000
Vladislav Gavrikov,5875000
Cam Atkinson,5875000
Nick Schmaltz,5850000
Adam Henrique,5825000
Esa Lindell,5800000
Andrew Mangiapane,5800000
Pavel Buchnevich,5800000
Gustav Forsling,5750000
Trevor Zegras,5750000
T.J. Oshie,5750000
Adam Pelech,5750000
Anthony Mantha,5700000
Igor Shesterkin,5666667
Vincent Trocheck,5625000
Andrew Copp,5625000
Phillip Danault,5500000
Josh Anderson,5500000
Andrei Kuzmenko,5500000
Jaden Schwartz,5500000
Andre Burakovsky,5500000
Adrian Kempe,5500000
Travis Konecny,5500000
Tyler Bertuzzi,5500000
Zach Hyman,5500000
Oliver Bjorkstrand,5400000
Teuvo Teravainen,5400000
Elvis Merzlikins,5400000
Tristan Jarry,5375000
Jaccob Slavin,5300000
Jason Zucker,5300000
Darcy Kuemper,5250000
Brady Skjei,5250000
Charlie Coyle,5250000
Jakob Silfverberg,5250000
Jakub Vrana,5250000
Joel Eriksson Ek,5250000
Alec Martinez,5250000
Erik Cernak,5200000
Shea Theodore,5200000
Yanni Gourde,5166667
Ryan Nugent-Hopkins,5125000
Evander Kane,5125000
Bryan Rust,5125000
Rasmus Ristolainen,5100000
J.T. Compher,5100000
Rickard Rakell,5000000
TJ Brodie,5000000
Jonathan Marchessault,5000000
Juuse Saros,5000000
Tyler Johnson,5000000
Joel Farabee,5000000
Reilly Smith,5000000
Ryan Strome,5000000
Ivan Barbashev,5000000
Kyle Palmieri,5000000
Mikael Granlund,5000000
Jack Campbell,5000000
Vladimir Tarasenko,5000000
Jared McCann,5000000
Thatcher Demko,5000000
Jean-Gabriel Pageau,5000000
Cal Petersen,5000000
Linus Ullmark,5000000
Samuel Girard,5000000
Dylan Strome,5000000
Drake Batherson,4975000
